epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6953,0.9957,5.18691,1.27178,0.32428,0.58065,0.35912,0.28695,0.66499,1.87935,0.99336,0.00324324,0.00324324,0.00324324
2,62.6633,0.73048,1.70183,1.0275,0.62728,0.70968,0.56675,0.481,0.54513,1.70912,0.94498,0.00657397,0.00657397,0.00657397
3,112.836,0.68866,1.72095,0.97607,0.50263,1,0.53639,0.46416,0.51527,3.92671,0.85713,0.00990206,0.00990206,0.00990206
